"Hospital_(City,_State)",Net_patient_revenue_in_million_U.S._dollars
Cleveland_Clinic_Hospital_(Cleveland_OH),4190
NY_Presbyterian_Hosp/Weill_Cornell_Med_Ctr_(NY_NY),3920
St._Luke's_Hospital_(San_Francisco_CA),3410
Univ_of_TX-M.D._Anderson_Cancer_Center_(Houston_TX),2660
Florida_Hospital_Orlando_(Orlando_FL),2600
Cedars-Sinai_Medical_Center_(West_Hollywood_CA),2480
Stanford_Hospital_&_Clinics_(Stanford_CA),2460
University_of_Michigan_Hospital_(Ann_Arbor_MI),2370
L.A._County_Harbor_-_UCLA_Medical_Center_(L.A._California),2340
UCSF_Medical_Canter_at_Parnassus_(San_Francisco_CA),2310
