Response,Very_important,Rather_important,Neutral,Rather_unimportant,Not_important
Product_quality,71,24,4,0,0
Detailed_product_descriptions,60,32,7,0,0
Prices,59,32,8,1,0
Transparent_and_simple_return_policy,56,33,9,1,0
Available_payment_methods,56,32,10,1,1
Product_range,46,36,15,3,1
Free_shipping,42,35,19,3,1
Information_on_returns_directly_during_payment,43,33,19,4,1
Online_shop_image,35,38,23,3,1
Customer_ratings,35,36,22,5,2
Quality_seals,29,34,27,7,2
Shipping_service_options,24,33,28,12,3
Degree_of_online_shop_awareness,21,30,35,11,3
