Quarter,Technology,Investment,Jewelry,Central_banks_and_other_institutions
Q3_'20,76.7,494.6,333.0,-12.1
Q2_'20,66.6,582.9,251.5,114.7
Q1_'20,73.4,539.6,325.8,145.0
Q4_'19,84.0,279.2,584.1,124.2
Q3_'19,82.2,408.6,460.9,156.2
Q2_'19,80.7,295.0,529.6,231.7
Q1_'19,79.9,298.1,533.4,145.5
Q4_'18,84.1,395.5,666.3,297.2
Q3_'18,85.3,194.9,535.7,148.4
Q2_'18,83.3,281.4,510.3,89.4
Q1_'18,82.1,287.3,487.7,116.5
Q4_'17,87.9,300.9,684.1,74.4
Q3_'17,84.3,246.2,505.8,121.8
Q2_'17,81.5,310.3,519.4,96.4
Q1_'17,78.9,394.2,491.6,82.2
Q4_'16,83.8,173.9,622.0,114.4
Q3_'16,82.4,335.7,493.1,81.7
Q2_'16,80.9,448.4,444.1,76.9
Q1_'16,80.9,617.6,481.9,109.4
