football_club,Average_attendance
Boussia_Dortmund,80295
Manchester_United,75205
Barcelona,72115
Real_Madrid,71565
Bayern_Munich,71000
Schalke_04,61750
Arsenal,60015
Borussia_Mönchengladbach,52240
Hertha_BSC,51890
Hamburger_SV,51825
Ajax_Amsterdam,50905
VfB_Stuttgart,50500
Newcastle_United,50395
Manchester_City,47075
Eintracht_Frankfurt,47055
Celtic_FC,46810
FC_Internazionale,46245
Atletico_Madrid,46245
FC_Köln,46235
Feyenoord,45755
Hannover_96,45635
Paris_Saint_Germain,45420
Liverpool,44670
SL_Benfica,43615
Rangers_FC,42935
