Month,Inflation_rate
Jul_'20,1.1
Jun_'20,3
May_'20,2.8
Apr_'20,3.4
Mar_'20,3.6
Feb_'20,4
Jan_'20,4.3
Dec_'19,3.5
Nov_'19,4.1
Oct_'19,3.6
Sep_'19,3.7
Aug_'19,5.1
Jul_'19,4.6
Jun_'19,3.2
May_'19,2.9
Apr_'19,2.2
Mar_'19,1.8
Feb_'19,0.8
Jan_'19,-0.3
Dec_'18,-0.6
Nov_'18,-0.1
Oct_'18,0.2
Sep_'18,1
Aug_'18,0.4
Jul_'18,1.4
Jun_'18,2.1
May_'18,2.6
Apr_'18,2.7
Mar_'18,2.3
Feb_'18,1.9
Jan_'18,3.4
Dec_'17,3.8
Nov_'17,4.8
Oct_'17,5.6
Sep_'17,4.7
Aug_'17,3.6
Jul_'17,2.9
Jun_'17,2.6
May_'17,2
Apr_'17,2
Mar_'17,2.9
Feb_'17,4.4
Jan_'17,3.6
Dec_'16,3.7
Nov_'16,1
Oct_'16,0.4
Sep_'16,1.2
Aug_'16,1.7
Jul_'16,1.3
Jun_'16,1.3
May_'16,1
Apr_'16,1.6
Mar_'16,1.5
Feb_'16,0.5
Jan_'16,-0.03
Dec_'15,-0.8
Nov_'15,-0.3
Oct_'15,-0.2
Sep_'15,-1.2
Aug_'15,-1.3
Jul_'15,-1.3
Jun_'15,-1
May_'15,-0.4
