player_name_and_country_it_plays_for,Market_value_in_million_euros
Lionel_Messi_(Argentina),180
Neymar_(Brazil),180
Mohamed_Salah_(Egypt),150
Kevin_De_Bruyne_(Belgium),150
Harry_Kane_(England),150
Kylian_Mbappé_(France),120
Eden_Hazard_(Belgium),110
Philippe_Coutinho_(Brazil),100
Dele_Alli_(England),100
Antoine_Griezmann_(France),100
Cristiano_Ronaldo_(Portugal),100
Paulo_Dybala_(Argentina),100
Paul_Pogba_(France),90
Raheem_Sterling_(England),90
Romelu_Lukaku_(Belgium),90
Robert_Lewandowski_(Poland),90
Toni_Kroos_(Germany),80
Roberto_Firmino_(Brazil),80
Christian_Eriksen_(Denmark),80
Ousmane_Dembélé_(France),80
Sergio_Busquets_(Spain),80
Sergio_Agüero_(Uruguay),80
Gabriel_Jesus_(Brazil),80
Marco_Asensio_(Spain),75
Isco_(Spain),75
