Response,Share_of_respondents
Listen_to_the_radio,70
Watch_music_videos_e.g._YouTube_Vimeo,38
Buy_CDs_online_(e.g._Amazon)_or_in_the_high_street_(e.g._HMV),35
Watch_music_TV_shows_e.g._XFactor_Later_With_Jools_Holland,32
Watch_music_TV_channels_e.g._VH1_Clubland_TV,22
Listen_to_streaming_music_for_free_e.g._Spotity_Free_Soundcloud,17
Go_to_see_bands_singers_or_DJs_play_live,16
Pay_to_download_single_tracks_e.g._iTunes_Store,14
Pay_to_download_albums_e.g._iTunes_Store,14
Download_music_for_free_from_file_sharing_networks_e.g._Pirate_Bay_uTorrents,8
I_use_a_music_cloud_locker_service_for_free_e.g._Amazon_Cloud_Player_Apple_iCloud_Google_Play_Music,8
None_of_the_above,8
I_trade_music_with_my_friends_(swap_music_between_phones_hard_drives_online_with_Dropbox_etc.,6
Pay_for_a_music_subscription_e.g._Spotify_Premium_Deezer,4
I_pay_to_use_a_music_cloud_locker_service_e.g._Amazon_Cloud_Player_Apple_iTunes_Match_Google_Play_Music,3
