Month,Retail_sales_value_in_thousand_GBP
Nov_20,9015723
Oct_20,8179023
Sep_20,7683550
Aug_20,7620906
Jul_20,7829555
Jun_20,7515884
May_20,6664645
Apr_20,5951083
Mar_20,6830717
Feb_20,6878626
Jan_20,6832800
Dec_19,9592060
Nov_19,8280504
Oct_19,7549030
Sep_19,7240427
Aug_19,7322461
Jul_19,7645548
Jun_19,7393107
May_19,7310037
Apr_19,7335758
Mar_19,7054372
Feb_19,6761602
Jan_19,6641912
Dec_18,9334899
Nov_18,8365334
Oct_18,7358698
Sep_18,7056768
Aug_18,7156531
Jul_18,7401785
Jun_18,7142805
May_18,7174902
Apr_18,6845085
Mar_18,6774081
Feb_18,6511500
Jan_18,6418189
Dec_17,9160628
Nov_17,8097422
Oct_17,7188555
Sep_17,6848098
Aug_17,6924004
Jul_17,7112851
Jun_17,6944143
May_17,6879428
Apr_17,6986903
Mar_17,6569830
Feb_17,6431510
Jan_17,6342561
Dec_16,9045235
Nov_16,7998821
Oct_16,7187701
Sep_16,6745845
Aug_16,6758848
Jul_16,7028647
Jun_16,6766418
May_16,6830961
Apr_16,6602190
Mar_16,6469787
Feb_16,6255695
Jan_16,6266816
Dec_15,8492738
Nov_15,7536801
Oct_15,6705614
Sep_15,6492193
Aug_15,6387026
Jul_15,6682776
Jun_15,6576104
May_15,6511043
Apr_15,6369892
Mar_15,6344735
Feb_15,6045613
Jan_15,6012168
Dec_14,8400582
Nov_14,7293353
Oct_14,6516193
Sep_14,6158498
Aug_14,6215430
Jul_14,6438928
Jun_14,6340120
May_14,6259428
Apr_14,6257037
Mar_14,5967086
Feb_14,5804782
Jan_14,5744011
Dec_13,8155538
Nov_13,6797845
