largest_metropolitan_areas_in_the_US,Under_18_years,18_to_44_years,45_to_64_years,65_to_74_years,75_years_and_over
New_York_-_Northern_New_Jersey_-_Long_Island_NY-NJ-PA,4423734,7135783,5022623,1293522,1194134
Los_Angeles_-_Long_Beach_-_Santa_Ana_CA,3256354,5163207,3065350,725875,664011
Chicago_-_Naperville_-_Joliet_IL-IN-WI,2436723,3654096,2415975,572564,501209
Dallas_-_Fort_Worth_-_Arlington_TX,1806339,2598211,1489928,311959,241178
Philadelphia_-_Camden_-_Wilmington_PA-NJ-DE-MD,1399360,2183443,1593846,396354,395249
Houston_-_Sugar_Land_-_Baytown_TX,1673274,2296708,1401077,285072,211358
Miami_-_Fort_Lauderdale_-_Pompano_Beach_FL,1251716,1991118,1420578,404918,478721
Washington_-_Arlington_-_Alexandria_DC-VA-MD-WV,1337831,2152100,1436495,310624,239191
Atlanta_-_Sandy_Springs_-_Marietta_GA,1476554,2185701,1342201,274841,195916
Boston_-_Cambridge_-_Quincy_MA-NH,993673,1758176,1245644,300875,290312
