Refrigerated_And_Logisitic_Company,Dry_storage_space_in_million_square_feet
DHL_Supply_Chain,139.0
XPO_Logistics_Inc,90.0
Ryder_Supply_Chain__Solutions,56.4
Geodis,44.0
NFI,49.6
FedEx_Logistics,30.7
Kenco_Logistics_Services,26.0
CJ_Logistics_North_America,24.9
Penske_Logistics,24.6
DB_Schenker_USA,23.7
Saddle_Creek_Logistics_Services,21.6
Kuehne_`Nagel_North_America,18.7
Ceva_Logistics,18.1
UPS_Supply_Chain_Solutions,17.3
Warehouse_Services_Inc.,14.0
WSI,14.0
APL_Logistics,12.7
Expeditors_International_of_Washington,11.7
Radial,11.7
Universal_Logistics_Holdings,10.6
