Household_Expenditure,Average_expenditure_in_Canadian_dollars
Shelter,13846
Transportation,12612
Income_taxes,12003
Food_expenditures,8250
Household_operations,4894
Personal_insurance_payments_and_pension_contributions,4728
Health_care,3004
Recreation,2948
Clothing_and_accessories,2787
Household_furnishings_and_equipment,2221
Gifts_of_money_support_payments_and_charitable_contributions,1741
Miscellaneous_expenditures,1239
Tobacco_products_and_alcoholic_beverages,1126
Personal_care,927
Education,883
Reading_materials_and_other_printed_matter,136
Games_of_chance,109
