Response,Use_it_at_least_a_few_times_per_month,Have_the_app
Amazon,38,59
PayPal,32,52
A_banking_app_from_your_financial_institution,35,50
eBay,22,46
Retailer_apps,25,40
Daily_deal_apps,19,37
National_pharmacy,21,36
Grocery_store_apps,21,35
Restaurant_apps,16,30
Google_wallet,13,27
Membership-based_retailer,14,26
Starbucks,15,25
Etsy,12,25
Trip_Advisor,10,22
Apple_Passbook,9,22
Shopkik,11,20
Overstock,10,20
Uber,9,19
GrubHub,9,17
OpenTable,9,16
ShopSavvy,8,16
Redlaser,7,15
Urbanspoon/Zomato,7,15
LevelUp,8,14
