province_of_Argentina,Number_of_households_in_thousands
Buenos_Aires_Province,4789.48
Buenos_Aires_City,1150.13
Córdoba,1031.84
Santa_Fe,1023.78
Mendoza,494.84
Entre_Ríos,375.12
Tucumán,368.54
Misiones,302.95
Salta,299.79
Chaco,288.42
Corrientes,267.8
Santiago_del_Estero,218.03
Río_Negro,199.19
San_Juan,177.16
Jujuy,174.63
Neuquén,170.06
Chubut,157.17
Formosa,140.3
San_Luis,126.92
La_Pampa,107.67
Catamarca,96.0
La_Rioja,91.1
Santa_Cruz,81.8
Tierra_del_Fuego_Antarctica_and_South_Atlantic_Islands,38.96
