Month,Market_share
Oct,97.15
Sep_20,96.9
Aug_20,96.52
Jul_20,96.74
Jun_20,96.84
May_20,97
Apr_20,97.01
Mar_20,97.06
Feb_20,96.94
Jan_20,96.88
Dec_19,96.81
Nov_19,96.94
Oct_19,97.08
Sep_19,96.63
Aug_19,96.26
Jul_19,96.31
Jun_19,96.41
May_19,96.43
Apr_19,96.3
Mar_19,96.35
Feb_19,96.21
Jan_19,96.24
Dec_18,96.09
Nov_18,95.38
Oct_18,96.09
Sep_18,95.74
Aug_18,95.38
Jul_18,95.69
Jun_18,95.61
May_18,95.52
Apr_18,95.59
Mar_18,95.93
Feb_18,96.07
Jan_18,96.23
Dec_17,96.89
Nov_17,96.98
Oct_17,96.24
Sept_17,95.74
Aug_17,95.49
Jul_17,95.46
Jun_17,95.53
May_17,95.82
Apr_17,95.74
Mar_17,95.59
Feb_17,95.76
Jan_17,95.76
Dec_16,95.81
Nov_16,95.68
Oct_16,95.28
Sep_16,95.61
Aug_16,94.8
Jul_16,94.48
Jun_16,94.56
May_16,94.47
Apr_16,94.18
Mar_16,94.28
Feb_16,93.86
Jan_16,93.71
Dec_15,94.16
Nov_15,94.22
Oct_15,93.55
Sep_15,93.34
Aug_15,93.35
Jul_15,92.88
Jun_15,93.15
May_15,92.35
Apr_15,92.05
