Month,Index_level
Jan_'16,103.9
Feb_'16,104.1
Mar_'16,104.4
Apr_'16,104.7
May_'16,104.8
Jun_'16,104.9
Jul_'16,105.0
Aug_'16,105.3
Sep_'16,105.5
Oct_'16,105.7
Nov_'16,105.7
Dec_'16,105.8
Jan_'17,106.1
Feb_'17,106.1
Mar_'17,106.0
Apr_'17,106.1
May_'17,106.3
Jun_'17,106.3
Jul_'17,106.5
Aug_'17,106.5
Sep_'17,106.5
Oct_'17,106.5
Nov_'17,106.4
Dec_'17,106.2
Jan_'18,106.3
Feb_'18,106.2
Mar_'18,106.1
Apr_'18,106.1
May_'18,106.1
Jun_'18,106.1
Jul_'18,106.2
Aug_'18,106.3
Sep_'18,106.3
Oct_'18,106.3
Nov_'18,106.3
Dec_'18,106.4
Jan_'19,106.4
Feb_'19,106.5
Mar_'19,106.6
Apr_'19,106.7
May_'19,107.0
Jun_'19,107.0
Jul_'19,107.2
Aug_'19,107.1
Sep_'19,107.2
Oct_'19,107.3
Nov_'19,107.4
Dec_'19,107.6
Jan_'20,107.7
Feb_'20,107.7
Mar_'20,107.9
Apr_'20,108.0
May_'20,108.2
Jun_'20,108.3
Jul_'20,108.3
