industry_classification,GDP_in_million_chained_2012_Canadian_dollars
Manufacturing,50712.0
Real_estate_and_rental_and_leasing,42781.6
Health_care_and_social_assistance,31224.5
Public_administration,27761.9
Professional_scientific_and_technical_services,24100.2
Construction,23800.7
Retail_trade,22707.9
Finance_and_insurance,22525.1
Educational_services,22074.7
Wholesale_trade,20444.9
Transportation_and_warehousing,16315.0
Utilities,12983.8
Information_and_cultural_industries,12200.1
Administrative_and_support_waste_management_and_remediation_services,10309.0
Accommodation_and_food_services,9057.8
Mining_quarrying_and_oil_and_gas_extraction,8558.1
Other_services_(except_public_administration),7971.0
Agriculture_forestry_fishing_and_hunting,7324.7
Arts_entertainment_and_recreation,3302.5
Management_of_companies_and_enterprises,1838.5
