Country,Hells_Angels_Charter,Bandidos_Chapter
United_States,77,104
Germany,49,73
Canada,35,0
Great_Britain,20,0
Netherlands,17,0
Australia,15,33
Sweden,13,11
Brazil,11,0
Spain,10,1
Denmark,9,19
Italy,9,9
France,8,11
Norway,8,7
Switzerland,7,0
South_Africa,7,0
Austria,6,0
Belgium,5,2
Portugal,5,0
Finland,4,8
Argentina,3,0
Chile,3,0
Greece,3,0
New_Zealand,3,0
Czech_Republic,3,0
Turkey,3,0
Luxembourg,2,0
Poland,2,0
Hungary,2,0
Thailand,1,9
Iceland,1,0
Croatia,1,0
Liechtenstein,1,0
Malta,1,0
Russia,1,0
Indonesia,0,4
Ukraine,0,3
Channel_Islands,0,2
Bosnia,0,1
Costa_Rica,0,1
Estonia,0,1
Malaysia,0,1
Romania,0,1
Serbia,0,1
Singapore,0,1
