Month,Consumer_price_index_(CPI)
Sep_'20,109.42
Aug_'20,109.83
Jul_'20,109.76
Jun_'20,109.52
May_'20,109.45
Apr_'20,109.53
Mar_'20,109.53
Feb_'20,109.71
Jan_'20,109.69
Dec_'19,109.04
Nov_'19,108.9
Oct'_19,108.83
Sep_'19,108.44
Aug_'19,108.94
Jul_'19,108.96
Jun_'19,108.87
May_'19,108.93
Apr_'19,108.91
Mar_'19,108.85
Feb_'19,108.52
Jan_'19,108.17
Dec_'18,108.22
Nov_'18,108.48
Oct_'18,108.31
Sep_'18,107.58
Aug_'18,107.58
Jul_'18,107.43
Jun_'18,107.02
May_'18,106.91
Apr_'18,106.69
Mar_'18,106.37
Feb_'18,106.22
Jan_'18,106.06
