Month,Number_of_deaths
Oct_20,46296
Sep_20,42500
Aug_20,37187
Jul_20,40780
Jun_20,42624
May_20,52374
Apr_20,88153
Mar_20,49723
Feb_20,43653
Jan_20,56706
Dec_19,47469
Nov_19,45219
Oct_19,46240
Sep19,40012
Aug_19,38843
Jul_19,42305
Jun_19,38606
May_19,44388
Apr_19,44123
Mar_19,43946
Feb_19,45796
Jan_19,53910
Dec_18,41539
Nov_18,43978
Oct_18,44440
Sep_18,37137
Aug_18,40192
Jul_18,40723
Jun_18,39767
May_18,42784
Apr_18,46469
Mar_18,51229
Feb_18,49177
Jan_18,64154
Dec_17,45129
Nov_17,45580
Oct_17,43597
Sep_17,40095
Aug_17,41074
Jul_17,38425
Jun_17,42175
May_17,44279
Apr_17,39101
Mar_17,48664
Feb_17,47766
Jan_17,57368
Dec_16,45555
Nov_16,46514
Oct_16,40448
Sep_16,40367
Aug_16,40786
Jul_16,38983
Jun_16,42012
May_16,41384
Apr_16,46856
Mar_16,48665
Feb_16,46021
Jan_16,47457
Dec_15,45509
Nov_15,41520
Oct_15,42232
Sep_15,41573
Aug_15,36199
Jul_15,40512
Jun_15,42082
May_15,39343
Apr_15,45178
Mar_15,47895
Feb_15,46721
Jan_15,60891
