ice_hockey_team,Ticket_price_in_U.S._dollars
Toronto_Maple_Leafs,113.66
Boston_Bruins,88.7
Vancouver_Canucks,84.87
Winnipeg_Jets,79.28
Chicago_Blackhawks,78.8
New_York_Rangers,77.87
Philadelphia_Flyers,74.65
Montreal_Canadiens,73.67
Pittsburgh_Penguins,73.59
Edmonton_Oilers,72.63
Washington_Capitals,70.98
Minnesota_Wild,67.06
Los_Angeles_Kings,66.25
Calgary_Flames,63.07
League_average,62.18
Nashville_Predators,62.16
Carolina_Hurricanes,61.04
San_Jose_Sharks,54.68
St._Louis_Blues,53.33
Ottawa_Senators,51.76
Buffalo_Sabres,49.72
New_York_Islanders,49.21
Detroit_Red_Wings,49.16
Columbus_Blue_Jackets,48.9
New_Jersey_Devils,47.71
Colorado_Avalanche,47.56
Anaheim_Ducks,45.1
Tampa_Bay_Lightning,44.5
Dallas_Stars,37.28
Florida_Panthers,33.39
Phoenix_Coyotes,0
