Response,Total,Patients_with_symptoms,Patients_with_no_symptoms
December_4,155232,0,0
December_3,152827,0,0
December_2,150386,0,0
December_1,148694,0,0
November_30,146760,0,0
November_29,144653,0,0
November_28,142068,0,0
November_27,139491,0,0
November_26,137261,0,0
November_25,135400,0,0
November_24,133929,0,0
November_23,132358,0,0
November_22,130179,0,0
November_21,127665,0,0
November_20,125267,0,0
November_19,122966,0,0
November_18,120815,0,0
November_17,119326,0,0
November_16,118136,0,0
November_15,116677,0,0
November_14,114983,0,0
November_13,113298,0,0
November_12,111711,0,0
November_11,110156,0,0
November_10,108983,0,0
November_9,108084,0,0
November_8,107086,0,0
November_7,105914,0,0
November_6,104782,0,0
November_5,103838,0,0
November_4,102900,0,0
November_3,102281,0,0
November_2,101813,0,0
November_1,101146,0,0
October_31,100392,0,0
October_30,99622,0,0
October_29,98852,0,0
October_28,98116,0,0
October_27,97498,0,0
October_26,97074,0,0
October_25,96534,0,0
October_24,95835,0,0
October_23,95138,0,0
October_22,94524,0,0
October_21,93933,0,0
October_20,93480,0,0
October_19,93127,0,0
October_18,92656,0,0
October_17,92063,0,0
October_16,91431,0,0
October_15,90710,0,0
October_14,90140,0,0
October_13,89673,0,0
October_12,89347,0,0
October_11,88912,0,0
October_10,88233,0,0
October_9,87639,0,0
October_8,87020,0,0
October_7,86543,0,0
October_6,86047,0,0
October_5,85739,0,0
October_4,85339,0,0
October_3,84768,0,0
October_2,84215,0,0
October_1,83563,0,0
September_30,83013,0,0
September_29,82494,0,0
September_28,82131,0,0
September_27,81690,0,0
September_26,81055,0,0
September_25,80497,0,0
September_24,80041,0,0
September_23,79768,0,0
September_22,79438,0,0
September_21,79140,0,0
September_20,78657,0,0
September_19,78073,0,0
September_18,77494,0,0
September_17,77009,0,0
September_16,76448,0,0
September_15,75958,0,0
September_14,75657,0,0
September_13,75218,0,0
September_12,74544,0,0
September_11,73901,0,0
September_10,73221,0,0
September_9,72726,0,0
September_8,72234,0,0
September_7,71856,0,0
September_6,71419,0,0
September_5,70876,0,0
September_4,70268,0,0
September_3,69599,0,0
September_2,69001,0,0
September_1,68392,0,0
August_31,67865,0,0
August_30,67264,0,0
August_29,66423,0,0
August_28,65573,0,0
August_27,64668,0,0
August_26,63822,0,0
August_25,63121,0,0
August_24,62507,0,0
August_23,61747,0,0
August_22,60733,0,0
August_21,59721,0,0
August_20,58501,0,0
August_19,57550,0,0
August_18,56685,0,0
August_17,55667,0,0
August_16,54714,0,0
August_15,53577,0,0
August_14,52217,0,0
August_13,51147,0,0
August_12,50210,0,0
August_11,48928,0,0
August_10,47990,0,0
August_9,46783,0,0
August_8,45439,0,0
August_7,43815,0,0
August_6,42263,0,0
August_5,41129,0,0
August_4,39858,0,0
August_3,38687,0,0
August_2,36689,0,0
August_1,35836,0,0
July_31,34372,0,0
July_30,33049,0,0
July_29,31901,0,0
July_28,30961,0,0
July_27,29989,0,0
July_26,29382,0,0
July_25,28786,0,0
July_24,27956,0,0
July_23,27029,0,0
July_22,26303,0,0
July_21,25736,0,0
July_20,25096,0,0
July_19,24642,0,0
July_18,24132,0,0
July_17,23473,0,0
July_16,22890,0,0
July_15,22508,0,0
July_14,22220,0,0
July_13,21868,0,0
July_12,21502,0,0
July_11,21129,0,0
July_10,20719,0,0
July_9,20371,0,0
July_8,20174,0,0
July_7,19981,0,0
July_6,19775,0,0
July_5,19522,0,0
July_4,19282,0,0
July_3,19068,0,0
July_2,18874,0,0
July_1,18723,0,0
June_30,18593,0,0
June_29,18476,0,0
June_28,18390,0,0
June_27,18297,0,0
June_26,18197,0,0
June_25,18110,0,0
June_24,18024,0,0
June_23,17968,0,0
June_22,17916,0,0
June_21,17864,0,0
June_20,17799,0,0
June_19,17740,0,0
June_18,17668,0,0
June_17,17628,0,0
June_16,17587,0,0
June_15,17502,0,0
June_14,17429,0,0
June_13,17382,0,0
June_12,17332,0,0
June_11,17292,0,0
June_10,17251,0,0
June_9,17210,0,0
June_8,17174,0,0
June_7,17141,0,0
June_6,17103,0,0
June_5,17064,0,0
June_4,17018,0,0
June_3,16986,0,0
June_2,16930,0,0
June_1,16884,0,0
May_31,16851,0,0
May_30,16804,0,0
May_29,16719,0,0
May_28,16683,0,0
May_27,16651,0,0
May_26,16623,0,0
May_25,16581,0,0
May_24,16550,0,0
May_23,16536,0,0
May_22,16513,0,0
May_21,16424,0,0
May_20,16385,0,0
May_19,16365,0,0
May_18,16305,0,0
May_17,16285,0,0
May_16,16237,0,0
May_15,16193,0,0
May_14,16079,0,0
May_13,16024,0,0
May_12,15874,0,0
May_11,15798,0,0
May_10,15747,0,0
May_9,15649,0,0
May_8,15547,9270,1143
May_7,15463,9200,1129
May_6,15354,9118,1121
May_5,15231,9053,1077
May_4,15057,8967,1069
May_3,14839,8848,1061
May_2,14544,8729,1053
May_1,14281,8642,1031
April_30,14088,8515,1011
April_29,13852,8352,975
April_28,13576,8223,956
April_27,13385,8097,940
April_26,13182,7941,907
April_25,12829,7787,820
April_24,12388,7577,805
April_23,11919,7315,778
April_22,11496,7096,760
April_21,11119,6869,733
April_20,10751,6656,704
April_19,10361,6353,685
April_18,9795,6056,660
April_17,9167,5738,634
April_16,8582,5354,608
April_15,8100,5036,581
April_14,7645,4794,561
April_13,7255,4552,531
April_12,6748,4302,507
April_11,6005,3914,450
April_10,5347,3485,424
