Industry_Type,GDP_in_million_chained_2012_Canadian_dollars
Real_estate_and_rental_and_leasing,45753.4
Construction,22650.1
Health_care_and_social_assistance,17576.1
Manufacturing,17383.2
Professional_scientific_and_technical_services,16141.6
Retail_trade,14770.3
Transportation_and_warehousing,14728.6
Finance_and_insurance,14431.8
Public_administration,13957.9
Educational_services,12968.5
Mining_quarrying_and_oil_and_gas_extraction,10919.7
Wholesale_trade,9539.4
Information_and_cultural_industries,8875.5
Accommodation_and_food_services,7735.1
Administrative_and_support_waste_management_and_remediation_services,6072.7
Agriculture_forestry_fishing_and_hunting,5621.4
Other_services_(except_public_administration),5408.7
Utilities,4868.4
Arts_entertainment_and_recreation,2411.2
Management_of_companies_and_enterprises,1132.8
