Month,Exchange_rate
Nov_'20,1.2
Oct'_20,1.17
Sep_'20,1.17
Aug_'20,1.19
Jul_'20,1.18
Jun_'20,1.12
May_'20,1.11
Apr_'20,1.09
Mar_'20,1.1
Feb_'20,1.1
Jan_'20,1.11
Dec_'19,1.12
Nov_'19,1.1
Oct_'19,1.12
Sep_'19,1.08
Aug_'19,1.1
Jul_'19,1.12
Jun_'19,1.14
May_'19,1.12
Apr_'19,1.12
Mar_'19,1.12
Feb_'19,1.14
Jan_'19,1.15
Dec_'18,1.15
Nov_'18,1.14
Oct_'18,1.13
Sep_'18,1.16
Aug_'18,1.17
Jul_'18,1.17
Jun_'18,1.17
May_'18,1.17
Apr_'18,1.21
Mar_'18,1.23
Feb_'18,1.22
Jan_'18,1.25
Dec_'17,1.2
Nov_'17,1.18
Oct_'17,1.16
Sep_'17,1.18
Aug_'17,1.18
Jul_'17,1.17
Jun_'17,1.14
May_'17,1.12
Apr_'17,1.09
Mar_'17,1.07
Feb_'17,1.06
Jan_'17,1.08
Dec_'16,1.05
Nov_'16,1.08
Oct_'16,1.1
Sep_'16,1.12
Aug_'16,1.11
Jul_'16,1.11
Jun_'16,1.11
May_'16,1.12
Apr_'16,1.14
Mar_'16,1.14
Feb_'16,1.09
Jan_'16,1.09
Dec_'15,1.09
Nov_'15,1.06
Oct_'15,1.1
Sep_'15,1.12
Aug_'15,1.12
Jul_'15,1.1
Jun_'15,1.12
May_'15,1.1
Apr_'15,1.12
Mar_'15,1.08
Feb_'15,1.12
Jan_'15,1.13
Dec_'14,1.21
Nov_'14,1.25
Oct_'14,1.25
Sep_'14,1.26
Aug_'14,1.32
Jul_'14,1.34
Jun_'14,1.37
May_'14,1.36
Apr_'14,1.39
Mar_'14,1.38
Feb_'14,1.38
Jan_'14,1.35
