Month,Unemployment_rate
Oct_20,4.9
Sep_20,4.8
Aug_20,4.5
Jul_20,4.3
Jun_20,4.1
May_20,4.1
Apr_20,4
Mar_20,4
Feb_20,4
Jan_20,3.9
Dec_19,3.8
Nov_19,3.8
Oct_19,3.8
Sep_19,3.8
Aug_19,3.9
Jul_19,3.8
Jun_19,3.9
May_19,3.8
Apr_19,3.8
Mar_19,3.8
Feb_19,3.9
Jan_19,3.9
Dec_18,4
Nov_18,4
Oct_18,4.1
Sep_18,4.1
Aug_18,4
Jul_18,4
Jun_18,4
May_18,4.2
Apr_18,4.2
Mar_18,4.2
Feb_18,4.2
Jan_18,4.3
Dec_17,4.4
Nov_17,4.3
Oct_17,4.2
Sep_17,4.3
Aug_17,4.3
Jul_17,4.3
Jun_17,4.4
May_17,4.4
Apr_17,4.5
Mar_17,4.6
Feb_17,4.6
Jan_17,4.7
Dec_16,4.7
Nov_16,4.8
Oct_16,4.8
Sep_16,4.8
Aug_16,5
Jul_16,4.9
Jun_16,4.9
May_16,4.9
Apr_16,5
Mar_16,5.1
Feb_16,5.1
Jan_16,5.1
Dec_15,5.1
Nov_15,5.1
Oct_15,5.2
Sep_15,5.3
Aug_15,5.4
Jul_15,5.5
Jun_15,5.6
May_15,5.6
Apr_15,5.5
Mar_15,5.5
Feb_15,5.6
Jan_15,5.7
Dec_14,5.7
Nov_14,5.9
Oct_14,6
Sep_14,6
Aug_14,6
Jul_14,6.1
Jun_14,6.3
May_14,6.4
Apr_14,6.6
Mar_14,6.8
Feb_14,6.9
Jan_14,7.2
Dec_13,7.2
Nov_13,7.2
Oct_13,7.4
Sep_13,7.6
Aug_13,7.7
Jul_13,7.7
Jun_13,7.7
May_13,7.8
Apr_13,7.8
Mar_13,7.8
Feb_13,8
Jan_13,7.8
Dec_12,7.8
Nov_12,7.8
Oct_12,7.9
Sep_12,7.9
Aug_12,7.9
Jul_12,8
Jun_12,8
May_12,8.1
Apr_12,8.2
Mar_12,8.2
Feb_12,8.3
Jan_12,8.4
Dec_11,8.4
Nov_11,8.5
Oct_11,8.4
Sep_11,8.3
Aug_11,8.2
Jul_11,8
Jun_11,7.9
May_11,7.8
Apr_11,7.7
Mar_11,7.8
Feb_11,7.8
Jan_11,7.9
Dec_10,7.9
Nov_10,7.9
Oct_10,7.9
Sep_10,7.8
Aug_10,7.8
Jul_10,7.8
Jun_10,7.9
May_10,7.9
Apr_10,8
Mar_10,8
Feb_10,7.9
Jan_10,7.7
Dec_09,7.8
Nov_09,7.8
Oct_09,7.9
Sep_09,7.8
Aug_09,7.9
Jul_09,7.9
Jun_09,7.8
May_09,7.6
Apr_09,7.3
Mar_09,7.1
Feb_09,6.7
Jan_09,6.5
Dec_08,6.4
Nov_08,6.2
Oct_08,6
Sep_08,5.9
Aug_08,5.7
Jul_08,5.5
Jun_08,5.4
May_08,5.2
Apr_08,5.3
Mar_08,5.2
Feb_08,5.2
Jan_08,5.2
Dec_07,5.2
Nov_07,5.2
Oct_07,5.2
Sep_07,5.3
Aug_07,5.3
Jul_07,5.3
Jun_07,5.4
May_07,5.4
Apr_07,5.5
Mar_07,5.5
Feb_07,5.5
Jan_07,5.5
Dec_06,5.5
Nov_06,5.4
Oct_06,5.5
Sep_06,5.5
Aug_06,5.5
Jul_06,5.5
Jun_06,5.5
May_06,5.4
Apr_06,5.3
Mar_06,5.2
Feb_06,5.2
Jan_06,5.1
Dec_05,5.1
Nov_05,5.1
Oct_05,4.9
Sep_05,4.7
Aug_05,4.7
Jul_05,4.7
Jun_05,4.8
May_05,4.8
Apr_05,4.7
Mar_05,4.7
Feb_05,4.8
Jan_05,4.7
Dec_04,4.7
Nov_04,4.7
Oct_04,4.7
Sep_04,4.7
Aug_04,4.7
Jul_04,4.8
Jun_04,4.8
May_04,4.8
Apr_04,4.8
Mar_04,4.8
Feb_04,4.8
Jan_04,4.8
Dec_03,4.9
Nov_03,4.9
Oct_03,5
Sep_03,5
Aug_03,5.1
Jul_03,5.1
Jun_03,4.9
May_03,5
Apr_03,5.1
Mar_03,5.2
Feb_03,5.1
Jan_03,5
Dec_02,5.1
Nov_02,5.2
Oct_02,5.2
Sep_02,5.3
Aug_02,5.2
Jul_02,5.2
Jun_02,5.2
May_02,5.2
Apr_02,5.2
Mar_02,5.2
Feb_02,5.1
Jan_02,5.2
Dec_01,5.2
Nov_01,5.1
Oct_01,5.1
Sep_01,5.1
Aug_01,5.1
Jul_01,5
Jun_01,5
May_01,4.9
Apr_01,5
Mar_01,5.1
Feb_01,5.2
Jan_01,5.2
Dec_00,5.2
Nov_00,5.3
Oct_00,5.4
Sep_00,5.3
Aug_00,5.3
Jul_00,5.3
Jun_00,5.5
May_00,5.6
Apr_00,5.7
Mar_00,5.8
Feb_00,5.8
Jan_00,5.9
Dec_99,5.8
Nov_99,5.8
Oct_99,5.8
Sep_99,5.9
Aug_99,5.9
Jul_99,6
Jun_99,6
May_99,6.1
Apr_99,6.2
Mar_99,6.2
Feb_99,6.2
Jan_99,6.2
