beauty_product_search_query,Year-on-year_growth_of_search_phrase_volume
black_bath_bomb,9757
carbonated_bubble_clay_mask,2188
charcoal_mask,274
bath_bombs,123
facial_cleanser,85
aztec_clay_mask,72
DIY_face_mask,48
epsom_salt_bath,29
DIY_lip_scrub,28
face_mask,26
castor_oil_uses,21
cerave_lotion,18
antibacterial_soap,16
cocoa_butter,14
oatmeal_bath,12
rose_hip_oil,9
african_black_soap,9
sugar_scrub,8
bubble_bath,4
coconut_oil_for_acne,3
castile_soap,0
soap,-2
cellulite_cream,-6
shea_butter,-7
coconut_oil_for_skin,-10
cream,-11
skin_lightening_cream,-11
hydroquinone_cream,-12
marula_oil,-14
emu_oil,-15
tea_tree_oil_for_acne,-15
bath_salts,-22
lotion,-35
bio_oil_reviews,-40
