Response,Situation_A,Situation_B
Luiz_Inácio_Lula_da_Silva_(PT),39,0
Jair_Bolsonaro_(PSL),19,0
Marina_Silva_(REDE),8,0
Geraldo_Alckmin_(PSDB),6,0
Ciro_Gomes_(PDT),5,0
Alvaro_Dias_(PODE),3,0
João_Amoedo_(NOVO),2,0
Henrique_Meirelles_(MDB),1,0
Guilherme_Boulos_(PSOL),1,0
Cabo_Daciolo_(PATRI),1,0
Vera_Lúcia_(PSTU),1,0
João_Goulart_Filho_(PPL),0,0
José_Maria_Eymael_(DC),0,0
Blank_or_voided_ballots_/_No_vote,11,0
Do_not_know,3,0
Jair_Bolsonaro,0,22
Marina_Silva,0,16
Ciro_Gomes,0,10
Geraldo_Alckmin,0,9
Alvaro_Dias,0,4
Fernando_Haddad_(PT),0,4
João_Amoedo,0,2
Henrique_Meirelles,0,2
Vera_Lúcia,0,1
Cabo_Daciolo,0,1
Guilherme_Boulos,0,1
João_Goulart_Filho,0,1
José_Maria_Eymael,0,0
Blank_or_voided_ballots/No_vote,0,22
Don't_know,0,6
