airline,737,747,767,777,787
BDS_USAF_Tanker_Program,0,0,23,0,0
FedEx_Express,0,0,15,7,0
China_Eastern_Airlines,12,0,0,0,6
Delta_Air_Lines,18,0,0,0,0
Qatar_Airways,2,0,0,6,7
BOC_Aviation_Limited,5,0,0,0,9
United_Airlines,4,0,0,2,8
Air_Lease_Corporation,1,0,0,0,12
Turkish_Airlines,5,0,0,1,6
Etihad_Airways,0,0,0,0,11
UPS,0,6,5,0,0
BDS_U.S._Navy_(P-8A_Poseidon),10,0,0,0,0
China_Southern_Airlines,0,0,0,5,4
Air_Canada,6,0,0,0,2
TUI_Travel_PLC,6,0,0,0,2
ANA_Holdings_Inc.,0,0,0,7,0
International_Lease_Finance_Co,0,0,0,0,7
Singapore_Airlines,0,0,0,0,7
