weekly_tracks_on_Spotify,Number_of_streams_in_millions
Mood_(ft._Iann_Dior)_-_24kGoldn,3.2
Ain't_It_Different_(ft._AJ_Tracey_&_Stormzy)_-_Headie_One,2.5
Lemonade_(feat._Gunna_Don_Toliver_&_NAV)_-_Internet_Money,2.4
Head_&_Heart_(dt._MNEK)_-_Joel_Corry,2.3
WAP_(ft._Megan_Thee_Stallion)_-_Cardi_B,2.2
What_You_Know_Bout_Love_-_Pop_Smoke,2.1
Looking_for_Me_-_Paul_Woolford_Diplo_Kareen_Lomax,1.8
Mood_Swings_(ft._Lil_Tjay)_-_Pop_Smoke,1.6
Princess_Cuts_(feat._Young_T_&_Bugsey)_-_Headie_One,1.6
For_The_Night_(feat._Lil_Baby_&_DaBaby)_-_Pop_Smoke,1.6
