Response,Approves,Would_like
Airline_check-in,61,65
Store_and_access_itinary,50,58
Hotel_check-in,44,56
Access_destination_information,36,54
Company-provided_traveller_alerts,31,59
Shop_for_travel,29,36
Trip_plan_sharing_with_colleagues,27,53
Company-provided_emergency_assistance_program,26,57
Expense_report_creation_and_submission,26,54
Expense_report_approval,22,50
Company_policy_and_preferred_vendor_information,19,50
Meetings_registration,18,39
En-route_service_recovery,17,58
None,26,11
Other,2,2
