Telecommunication_company,Turnover_in_million_SEK
Telia_Company_AB,83559
Tele2_AB,23704
Telenor_Sverige_AB,12845
Eltel_AB,12192
Sinch_AB_(publ),3987
Eltel_Networks_Infranet_AB,3770
Boxer_TV-Access_AB,1705
Canal_Digital_Sverige_AB,1627
Teracom_AB,1606
Transtema_Network_Services_AB,1058
Svenska_UMTS-nät_AB,1026
Svenska_Rymd_AB,945
Rebtel_Owners_AB,918
A3_Allmänn_IT_-_och_Telekom_AB_(publ),806
Zitius_Service_Delivery_AB,757
Telenor_Connexion_AB,702
Nordic_Entertainment_Group_Technology_AB,691
SES_Astra-AB,577
Netsize_Internet_Payment_Exchange_AB,541
Verizon_Sweden_AB,533
