Response,Share_of_responding_businesses
Media_communication_or_information_(e.g._broadcasting_telecoms_computer_programming),15
Other,13
Retail_or_wholesale_(incl._online_shops),13
Personal_services_(e.g._beauty_and_wellness_repair_of_household_goods),12
Professional_services_(e.g._financial_services_consulting_travel_agents_business_services),7
Arts_entertainment_or_recreation_(e.g._museum_creative_arts_sports_club),7
Accommodation_(e.g._hotels_camping_grounds),6
Healthcare_(e.g._dentist_senior_care),6
Restaurant/café_or_other_food_services,4
Construction_or_home_repair,4
Real_estate_(e.g._brokerage_leasing_management),4
Non-profit/charity_organization,3
Manufacturing,3
Education_(e.g._schools_tutoring_driving_school),2
Transportation_or_storage_(e.g._taxi_warehousing),1
Automotive_repair_or_services,1
