Super_Bowl,Average_advertisement_cost_in_million_U.S._dollars
Super_Bowl_LIV_(2020),5.6
Super_Bowl_LIII_(2019),5.3
Super_Bowl_LII_(2018),5.0
Super_Bowl_LI_(2017),5.0
Super_Bowl_50_(2016),5.0
Super_Bowl_XLIX_(2015),4.5
Super_Bowl_XLVIII_(2014),4.0
Super_Bowl_XLVII_(2013),4.0
Super_Bowl_XLVI_(2012),3.5
Super_Bowl_XLV_(2011),3.0
Super_Bowl_XLIV_(2010),2.7
Super_Bowl_XLIII_(2009),3.1
Super_Bowl_XLII_(2008),2.7
Super_Bowl_XLI_(2007),2.7
Super_Bowl_XL_(2006),2.7
Super_Bowl_XXXIX_(2005),2.7
Super_Bowl_XXXVIII_(2004),2.6
Super_Bowl_XXXVI_(2002),2.3
