Industry,GDP_in_million_chained_2012_Canadian_dollars
Real_estate_and_rental_and_leasing,262486
Manufacturing,186802
Finance_and_insurance,144871
Construction,138309
Health_care_and_social_assistance,134997
Public_administration,134948
Mining_quarrying_and_oil_and_gas_extraction,134062
Professional_scientific_and_technical_services,119450
Wholesale_trade,103647
Retail_trade,102858
Educational_services,102572
Transportation_and_warehousing,70825
Information_and_cultural_industries,64593
Administrative_and_support_waste_management_and_remediation_services,46789
Agriculture_forestry_fishing_and_hunting,46418
Utilities,42068
Other_services_(except_public_administration),35215
Accommodation_and_food_services,29814
Arts_entertainment_and_recreation,9092
Management_of_companies_and_enterprises,6435
