radiation_,Radiation_level_in_millisievert
Lethal_dose,7000.0
Radiation_at_the_reactor_in_Chernobyl,6000.0
Mortality_rate_of_50_percent,4000.0
Dose_per_hour_at_the_power_plant_in_Fukushima_Tuesday_15_March,400.0
Dose_that_induces_acute_radiation_sickness,250.0
Annual_dose_which_can_cause_cancer_at_one_percent_crude_irradiated,100.0
Dose_from_a_whole-body_computed_tomography,10.0
Average_annual_dose_according_to_the_UN,2.4
Average_annual_dose_according_to_BfS,2.1
Dose_x-ray_of_the_spine,1.2
First_officially_measured_value_at_reaktor_in_Fukushima_Friday_11_March,1.02
