Year_and_candidate,Democrat,Republican
2020:_Donald_Trump,0,6
2016:_Donald_Trump,0,6
2012:_Barack_Obama,6,0
2008:_Barack_Obama,7,0
2004:_George_W._Bush,0,7
2000:_Al_Gore,7,0
1996:_Bill_Clinton,7,0
1992:_Bill_Clinton,7,0
1988:_Michael_Dukakis,8,0
1984:_Ronald_Reagan,0,8
1980:_Ronald_Reagan,0,8
1976:_Gerald_R._Ford,0,8
1972:_Richard_Nixon,0,8
1968:_Richard_Nixon,0,9
1964:_Lyndon_B._Johnson,9,0
1960:_Richard_Nixon,0,10
1956:_Dwight_D._Eisenhower,0,10
1952:_Dwight_D._Eisenhower,0,10
1948:_Harry_S._Truman,10,0
1944:_Thomas_E._Dewey,0,10
1940:_Wendell_Wilkie,0,11
1936:_Franklin_D._Roosevelt,11,0
1932:_Franklin_D._Roosevelt,11,0
1928:_Herbert_Hoover,0,13
1924:_Calvin_Coolidge,0,13
1920:_Warren_G._Harding,0,13
1916:_Charles_Evans_Hughes,0,13
1912:_Woodrow_Wilson,13,0
1908:_William_Howard_Taft,0,13
1904:_Theodore_Roosevelt,0,13
1900:_William_McKinley,0,13
1896:_William_McKinley,0,13
1892:_Benjamin_Harrison,0,13
1888:_Benjamin_Harrison,0,13
1884:_James_G._Blaine,0,13
1880:_James_A._Garfield,0,11
1876:_Rutherford_B._Hayes,0,11
1872:_Ulysses_S._Grant,0,11
1868:_Ulysses_S._Grant,0,8
1864:_Abraham_Lincoln,0,8
1860:_Abraham_Lincoln,0,4
1856:_John_C._Frémont,0,4
1852:_Franklin_Pierce,4,0
1848:_Lewis_Cass,4,0
