Instagram_Influencer,Number_of_followers_in_millions
Nicky_Jam_(@nickyjampr),36.9
Carmen_Villalobos_(@cvillaloboss),15.7
Greeicy_(@greeicy1),14.0
Luisa_Fernanda_W_(@luisafernandaw),13.8
Camilo_(@camilomusica),12.8
Manuel_Turizo_(@mturizomusic),8.6
Paula_Galindo_(@pautips),8.5
Jessica_Cediel_(@jessicacedielnet),7.4
Kevin_Roldan_KR_(@kevinroldankr),7.0
Pipe_Bueno_(@pipebueno),7.0
Carlos_Vives_(@carlosvives),7.0
Dani_Salomé_(@daniela_ospina5),6.7
Carolina_Cruz_(@carolinacruzosorio),5.6
Sara_Uribe_(@sara_uribe),5.5
Paulina_Vega_Dieppa_(@paulinavegadiep),5.5
