Response,Share_of_respondents
Big_data,56.7
Master_data_management_(MDM),53.6
Data_cleansing_tools_(data_validation),52.1
Monitoring,43.8
Data_exception_handling,41.2
ETL_(extract_transform_load),34.5
Data_stewardship_(management),32.5
Metadata_management,28.9
Profiling,26.3
Matching_and_consolidation,25.3
Internationalization_/_Localization,24.7
Verification,24.2
Matching_on_name_and_address_data,24.2
Geo-coding,23.7
Standardization_normalization,22.7
Transformation,22.7
Householding,18
Enrichment,17.5
