Name,2014,2015,2016,2017,2018
Entercom,0,0,0,10,10
CBS_Corp.,10,10,10,0,0
Hubbard_Broadcasting_Inc.,3,3,3,3,3
Sinclair_Broadcast_Group_Inc.,2,2,2,2,2
Davis_Media_LLC,0,0,0,0,2
Cox_Media_Group,2,2,2,2,1
Cumulus_Media_Inc.,2,2,2,1,1
CC_Media_Holdings_Inc.,0,1,1,1,1
Jet_Broadcasting_Inc.,0,0,1,1,1
MultiCultural_Radio_Broadcasting_Inc.,0,0,0,1,1
Storm_Front_Communications_LLC,0,0,0,1,1
Kensington_Digital_Media_LLC,0,0,0,0,1
Bryan_Steele,0,0,0,0,1
Neal_Ardman,2,2,2,2,0
Paskvan_Media_Inc.,1,1,1,1,0
Talking_Stick_Communications_LLC,1,1,1,1,0
