Religious_Minority_Group,Number_of_Italian_citizens_belonging_to_religious_minorities
Muslims,417900
Jehovah's_Witnesses_(and_analogous),409100
Protestants,382400
Orthodox_Christians,320800
Buddhists,205500
Hindus_and_neo-Hindus,47500
Jews,36500
Human_potential_groups,30000
Mormons_(and_analogous),27800
"""Fringe""_and_dissident_Roman_Catholics",24800
Sikhs_Radha_Swami_and_derivative_groups,20500
Organized_New_Age_and_Next_Age_groups,20000
"Esoteric_and_""ancient_wisdom""_groups",16500
Other_Christian_creeds,7800
Other_oriental_groups,5800
Baha'is_and_other_religions_of_Islamic_inspiration,4400
Osho_and_derivative_groups,4000
New_Japanese_Religions,3600
Other,14500
