Response,Percentage_of_respondents
Pet_owners_believe_owning_a_pet_provides_invaluable_companionship,95
Believe_that_anyone_breeding_puppies_should_be_licensed_and_regulated_to_meet_certain_standards,92
Pet_owners_that_believe_the_UK_is_a_nation_of_animal_lovers,87
Pet_owners_believe_owning_a_pet_will_improve_their_life,85
Pet_owners_believe_owning_a_pet_makes_them_physically_or_mentally_healthier,75
Pet_owners_have_bought_their_pet_a_birthday_or_Christmas_present,73
Believe_that_their_pet_will_cost_them_between_1000_and_5000_GBP_over_its_life_time,45
Believe_people_should_pass_a_test_before_owning_a_pet,42
Believe_veterinary_fees_are_more_than_they_expected_them_to_be,34
Pet_owners_who_have_taken_their_pet_to_work,17
Pet_owners_who_have_Skyped_or_Facetimed_with_their_pet,12
