Month,Index
May_20,136.9
Apr_20,107.4
Mar_20,125.9
Feb_20,128.3
Jan_20,138.4
Dec_19,211.9
Nov_19,193.0
Oct_19,152.4
Sep_19,138.4
Aug_19,128.8
Jul_19,144.3
Jun_19,150.6
May_19,137.4
Apr_19,136.0
Mar_19,130.8
Feb_19,110.6
Jan_19,139.5
Dec_18,214.0
Nov_18,195.0
Oct_18,145.4
Sep_18,131.1
Aug_18,119.1
Jul_18,127.5
Jun_18,127.6
May_18,129.0
Apr_18,117.3
Mar_18,116.5
Feb_18,98.8
Jan_18,125.7
Dec_17,188.7
Nov_17,163.7
Oct_17,127.7
Sep_17,110.4
Aug_17,106.4
Jul_17,109.9
Jun_17,107.4
May_17,104.0
Apr_17,94.3
Mar_17,102.9
Feb_17,89.1
Jan_17,106.5
Dec_16,156.6
Nov_16,141.6
Oct_16,107.2
Sep_16,88.4
Aug_16,87.1
Jul_16,92.9
Jun_16,91.5
May_16,91.7
Apr_16,85.9
Mar_16,81.7
Feb_16,76.5
Jan_16,94.3
Dec_15,144.7
Nov_15,128.5
Oct_15,100.0
Sep_15,89.4
Aug_15,89.8
Jul_15,84.7
Jun_15,92.0
May_15,81.3
Apr_15,82.3
Mar_15,79.3
Feb_15,67.8
Jan_15,85.8
Dec_14,131.3
Nov_14,108.1
Oct_14,86.5
Sep_14,82.1
Aug_14,79.7
Jul_14,79.9
Jun_14,78.5
May_14,79.9
Apr_14,71.0
Mar_14,73.5
Feb_14,62.3
Jan_14,75.3
Dec_13,109.0
Nov_13,89.8
Oct_13,74.0
Sep_13,71.8
Aug_13,59.5
Jul_13,66.2
Jun_13,64.3
May_13,65.1
Apr_13,63.6
Mar_13,68.8
Feb_13,54.6
Jan_13,64.3
