Month,Total_deaths,Average_deaths
Dec_4,12303,10695
Nov_27,12456,10357
Nov_20,12535,10380
Nov_13,12254,9675
Nov_6,11812,10331
Oct_30,10887,9891
Oct_23,10739,9759
Oct_16,10534,9865
Oct_9,9954,9811
Oct_2,9945,9555
Sep_25,9634,9377
Sep_18,9523,9264
Sep_11,9811,9306
Sep_4,7739,9182
Aug_28,9032,8241
Aug_21,9631,9157
Aug_14,9392,9085
Aug_7,8945,9102
Jul_31,8946,9036
Jul_24,8891,9052
Jul_17,8823,9093
Jul_10,8690,9250
Jul_3,9140,9183
Jun_26,8979,9293
Jun_19,9339,9404
Jun_12,9976,9417
Jun_5,10709,9977
May_29,9824,8171
May_22,12288,9940
May_15,14573,10188
May_8,12657,9576
May_1,17953,9941
Apr_24,21997,10458
Apr_17,22351,10497
Apr_10,18516,10520
Apr_3,16387,10305
Mar_27,11141,10130
Mar_20,10645,10573
Mar_13,11019,11205
Mar_6,10895,11498
Feb_28,10816,11183
Feb_21,10841,11548
Feb_14,10944,11627
Feb_7,10986,11925
Jan_31,11612,12206
Jan_24,11856,12760
Jan_17,12990,13216
Jan_10,14058,13822
Jan_3,12254,12175
