Month,Index_number_of_sales_per_week
Jun_20,97.6
May_20,25.0
Apr_20,24.9
Mar_20,70.5
Feb_20,120.6
Jan_20,120.2
Dec_19,117.0
Nov_19,118.6
Oct_19,121.1
Sep_19,127.7
Aug_19,127.0
Jul_19,129.7
Jun_19,130.9
May_19,132.8
Apr_19,126.3
Mar_19,128.4
Feb_19,120.8
Jan_19,116.8
Dec_18,124.9
Nov_18,127.0
Oct_18,124.7
Sep_18,123.3
Aug_18,125.9
Jul_18,128.6
Jun_18,105.5
May_18,116.2
Apr_18,111.7
Mar_18,105.2
Feb_18,110.3
Jan_18,112.5
Dec_17,109.3
Nov_17,122.3
Oct_17,110.0
Sep_17,112.1
Aug_17,111.7
Jul_17,110.5
Jun_17,108.4
May_17,107.8
Apr_17,112.1
Mar_17,111.4
Feb_17,115.9
Jan_17,112.7
Dec_16,106.5
Nov_16,102.7
Oct_16,107.0
Sep_16,101.0
Aug_16,100.1
Jul_16,100.5
Jun_16,104.0
May_16,97.9
April_16,98.4
Mar_16,93.5
Feb_16,95.7
Jan_16,91.5
