"Day,_game_(conference)_(network)",Rating,Viewers_(in_thousands)
August_25_2018_North_Carolina_A&T_vs._Jacksonville_State_(FCS)_(ESPN),0.35,564
August_25_2018_Wyoming_vs._New_Mexico_(MWC)_(ESPN2),0.29,464
September_1_2018_Michigan_vs._Notre_Dame_(B1G_IND)_(NBC),4,7091
September_2_2018_Miami_vs._Louisiana_State_(ACC_SEC)_(ABC),3.8,6553
September_3_2018_Virginia_Tech_vs._Florida_State_(ACC)_(ESPN),3.4,5576
September_1_2018_Washington_vs._Auburn_(P12_SEC)_(ABC),3.2,5253
September_1_2018_Louisville_vs._Alabama_(ACC_SEC)_(ABC),2.7,4540
September_1_2018_Oregon_State_vs._Ohio_State_(P12_B1G)_(ABC),2.2,3487
September_1_2018_West_Virginia_vs._Tennessee_(B12_SEC)_(CBS),1.6,2647
September_1_2018_Ole_Miss_vs._Texas_Tech_(SEC_B12)_(ESPN),1.2,1929
September_1_2018_College_Gameday_(ESPN),0,1867
August_30_2018_Northwestern_vs._Purdue_(BIG)_(ESPN),1,1741
August_31_2018_Western_Kentucky_vs._Wisconsin_(CUSA_BIG)_(ESPN),0.9,1409
September_1_2018_Florida_Atlantic_vs._Oklahoma_(CUSA_B12)_(FOX),0.9,1385
September_1_2018_Brigham_Young_vs._Arizona_(IND_P12)_(ESPN),0.75,1288
September_1_2018_Texas_vs._Maryland_(B12_BIG)_(FS1),0.8,1274
September_1_2018_Austin_Peay_vs._Georgia_(FCS_SEC)_(ESPN),0.7,1193
September_1_2018_Cincinnati_vs._California_Los_Angeles_(AAC_P12)_(ESPN),0.6,1008
September_1_2018_North_Carolina_vs._California_(ACC_P12)_(FOX),0.6,930
August_31_2018_San_Diego_State_vs._Stanford_(MWC_P12)_(FS1),0.38,596
August_31_2018_Army_vs._Duke_(IND_ACC)_(ESPNU),0.3,503
August_30_2018_Central_Florida_vs._Connecticut_(AAC)_(ESPNU),0.26,444
September_2_2018_Prairie_View_A&M_vs._North_Carolina_A&T_(FCS)_(ESPN2),0.25,362
August_30_2018_Missouri_State_vs._Oklahoma_State_(MVC_B12)_(FS1),0.2,337
September_1_2018_Central_Michigan_vs._Kentucky_(MAC_SEC)_(ESPNU),0,327
September_1_2018_Boise_State_vs._Troy_(MWC_SUN)_(ESPNEWS),0,241
September_1_2018_James_Madison_vs._NC_State_(FCS_ACC),0,240
