region,Number_of_firefighters
Greater_London,4683
Scotland,3673
West_Midlands,1398
Greater_Manchester,1364
Northern_Ireland,917
South_Wales,792
Hampshire,658
Kent,658
Lancashire,645
Essex,629
Merseyside,610
Tyne_and_Wear,590
South_Yorkshire,573
Devon_and_Somerset,529
Humberside,494
Avon,475
Surrey,473
Hertfordshire,468
Nottinghamshire,456
Dorset_and_Wiltshire,424
Cheshire,416
Mid_Wales,377
Berkshire,366
East_Sussex,352
Derbyshire,349
Leicestershire,345
Cleveland,326
West_Sussex,320
Staffordshire,319
North_Yorkshire,299
Durham,295
Bedfordshire,281
Norfolk,277
Warwickshire,258
Cambridgeshire,253
North_Wales,248
Buckinghamshire,236
Oxfordshire,235
Northamptonshire,235
