Year,White,Other,Asian,Black,Hispanic
1960,85.2%,0.2%,0.6%,10.5%,3.5%
1970,83.1%,0.4%,0.9%,10.9%,4.7%
1980,79.6%,0.8%,1.5%,11.6%,6.5%
1990,75.8%,1.0%,2.7%,11.8%,8.8%
2000,69.1%,2.8%,3.6%,12.0%,12.5%
2006,66.2%,2.5%,4.3%,12.2%,14.8%
2007,65.8%,2.6%,4.3%,12.1%,15.0%
2008,65.4%,2.7%,4.4%,12.1%,15.4%
2009,64.9%,2.8%,4.4%,12.1%,15.7%
2010,63.7%,3.0%,4.7%,12.3%,16.4%
2011,63.3%,3.1%,4.8%,12.3%,16.7%
2012,62.8%,3.1%,4.9%,12.3%,16.9%
2013,62.4%,3.2%,5.0%,12.3%,17.1%
2014,61.9%,3.2%,5.2%,12.3%,17.3%
2015,61.5%,3.3%,5.3%,12.3%,17.6%
