Month,Sales_in_billion_Canadian_dollars
Jul_'20,5.05
Jun_'20,4.1
May_'20,3.25
Apr_'20,2.29
Mar_'20,3.81
Feb_'20,5.53
Jan_'20,5.55
Dec_'19,6.4
Nov_'19,6.18
Oct_'19,6.35
Sep_'19,6.35
Aug_'19,6.86
Jul_'19,6.72
Jun_'19,6.58
May_'19,6.48
Apr_'19,5.94
Mar_'19,6.02
Feb_'19,5.19
Jan_'19,5.4
Dec_'18,6.28
Nov_'18,5.92
Oct_'18,6.13
Sep_'18,6.28
Aug_'18,6.67
Jul_'18,6.54
Jun_'18,6.41
May_'18,6.2
Apr_'18,5.66
Mar_'18,5.78
Feb_'18,5.03
Jan_'18,5.13
Dec_'17,5.98
Nov_'17,5.6
Oct_'17,5.91
Sep_'17,5.98
Aug_'17,6.26
Jul_'17,6.23
Jun_'17,6.0
May_'17,5.85
April_'17,5.52
March_'17,5.43
February_'17,4.81
January_'17,4.94
