Month,Index_number_of_sales_per_week
Jun_20,226.9
May_20,224.5
Apr_20,184.9
Mar_20,156.0
Feb_20,147.7
Jan_20,152.3
Dec_19,148.5
Nov_19,145.9
Oct_19,148.9
Sep_19,149.0
Aug_19,151.1
Jul_19,157.3
Jun_19,146.5
May_19,146.1
Apr_19,146.1
Mar_19,144.6
Feb_19,141.8
Jan_19,137.6
Dec_18,132.0
Nov_18,134.9
Oct_18,131.4
Sep_18,131.3
Aug_18,131.8
Jul_18,130.0
Jun_18,127.3
May_18,128.9
Apr_18,121.9
Mar_18,118.6
Feb_18,122.1
Jan_18,118.8
Dec_17,119.0
Nov_17,122.7
Oct_17,120.9
Sep_17,124.2
Aug_17,117.4
Jul_17,112.3
Jun_17,115.1
May_17,111.7
Apr_17,113.7
Mar_17,108.7
Feb_17,109.6
Jan_17,109.9
Dec_16,110.3
Nov_16,111.9
Oct_16,109.2
Sep_16,105.8
Aug_16,101.9
Jul_16,98.6
Jun_16,97.4
May_16,100.2
Apr_16,92.0
Mar_16,92.8
Feb_16,89.2
Jan_16,90.2
