Metropolitan_area_of_Canada,"Number_of_homicides_per_100,000_population"
Thunder_Bay,5.56
Winnipeg,5.31
Saskatoon,4.76
Regina,3.05
Brantford,2.66
Moncton,2.43
Saint_John,2.3
Edmonton,2.2
Toronto,2.03
St._John's,1.92
Hamilton,1.83
Greater_Sudbury,1.78
Kingston,1.73
Windsor,1.69
Calgary,1.57
Vancouver,1.52
St._Catharines–Niagara,1.25
Ottawa_,1.19
Barrie,1.18
Montréal,1.05
London,0.91
Gatineau,0.88
Kitchener–Cambridge–Waterloo,0.84
Oshawa,0.84
Peterborough,0.78
Halifax,0.68
Québec,0.61
Victoria,0.5
Abbotsford–Mission,0.5
Sherbrooke,0.49
Kelowna,0.46
