American_football_player,Number_of_yards
Emmitt_Smith_(1990-2004),18355
Walter_Payton_(1975-1987),16726
Frank_Gore_(2005-2020),16000
Barry_Sanders_(1989-1998),15269
Adrian_Peterson_(2007-2020),14757
Curtis_Martin_(1995-2005),14101
LaDainian_Tomlinson_(2001-2011),13684
Jerome_Bettis_(1993-2005),13662
Eric_Dickerson_(1983-1993),13259
Tony_Dorsett_(1977-1988),12739
Jim_Brown_(1957-1965),12312
Marshall_Faulk_(1994-2005),12279
Edgerrin_James_(1999-2009),12246
Marcus_Allen_(1982-1997),12243
Franco_Harris_(1972-1984),12120
Thurman_Thomas_(1988-2000),12074
Fred_Taylor_(1998-2010),11695
Steven_Jackson_(2004-2015),11438
John_Riggins_(1971-1985),11352
Corey_Dillon_(1997-2006),11241
