Month,Total_number_of_cases
Jan_3,17642
Dec_6,15591
Nov_30,15139
Nov_22,14493
Nov_19,14134
Nov_15,13451
Nov_10,12816
Nov_5,12102
Nov_1,11035
Oct_29,10269
Oct_25,9381
Oct_20,8049
Oct_17,7462
Oct_14,6846
Oct_11,6366
Oct_5,5402
Oct_1,5114
Sep_28,4797
Sep_24,4475
Sep_20,3991
Sep_17,3789
Sep15,3569
Sep_13,3388
Sep_9,3092
Sep_6,2965
Sep_3,2805
Sep_1,2729
Aug_30,2624
Aug_28,2415
Aug_25,2283
Aug_23,2171
Aug_21,2044
Aug_17,1935
Aug_14,1815
Aug_10,1679
Aug_6,1483
Aug_2,1199
Jul_30,1109
Jul_25,916
Jul_20,749
Jul_15,576
Jul_10,458
Jul_09,396
Jul_04,346
Jun_29,276
Jun_24,197
Jun_19,172
Jun_14,140
Jun_09,96
Jun_04,86
May_30,84
May_25,70
May_20,52
May_15,48
May_10,43
May_05,36
Apr_30,27
Apr_25,25
Apr_20,24
Apr_15,19
Apr_10,19
Apr_05,14
Mar_31,7
Mar_26,4
Mar_21,2
Mar_16,0
Mar_11,0
Mar_06,0
Mar_01,0
Feb_25,0
Feb_20,0
Feb_15,0
