Quarter,Net_income_in_million_U.S._dollars
Q3_'20,272.0
Q2_'20,243.0
Q1_'20,293.0
Q4_'19,243.0
Q3_'19,246.0
Q2_'19,263.0
Q1_'19,162.0
Q4_'18,251.05
Q3_'18,343.05
Q2_'18,292.35
Q1_'18,289.44
Q4_'17,-37.0
Q3_'17,275.72
Q2_'17,202.11
Q1_'17,207.07
Q4_'16,204.63
Q3_'16,193.9
Q2_'16,174.97
Q1_'16,172.44
Q4_'15,134.63
Q3_'15,166.55
Q2_'15,102.85
Q1_'15,105.69
Q4_'14,143.12
Q3_'14,136.17
Q2_'14,119.96
Q1_'14,93.99
Q4_'13,65.2
Q3_'13,62.88
Q2_'13,125.52
Q1_'13,123.6
Q4_'12,156.24
Q3_'12,74.51
Q2_'12,3134.17
Q1_'12,107.77
Q4_'11,71.34
Q3_'11,104.19
Q2_'11,173.32
Q1_'11,78.12
