industry,Number_of_companies
Total,7400
Bakeries_and_patisseries,3765
Butcheries_(excl._poultry_butcheries),335
Cocoa_and_chocolate_processing_industry,335
Meat_processing,330
Snack_industry_(incl._salads),310
Other,305
Pastry_and_cookies_industry,265
Dairy_industry_(excl._ice_cream),255
Fish_processing,180
Fruit_and_vegetable_processing,170
Consumption_ice_industry,145
Coffee_roasters_and_tea_processing_industry,145
Mill_products_industry_(excl._starch),120
Sauce_salt_and_condiment_industry,105
Fat_and_oil_industry,70
Diet_food_industry,70
Poultry_butcheries,55
Fruit_and_vegetable_juice_manufacturing,45
Dough_industry,35
Potato_products_manufacturing,35
Starch_industry,30
Sugar_industry,5
Margarine_industry,5
