Month,Number_of_tested_people
December_7_to_December_13,220504
November_30_to_December_6,185977
November_23_to_November_29,163421
November_16_to_November_22,166913
November_9_to_November_15,155653
November_2_to_November_8,165041
October_26_to_November_1,197534
October_19_to_October_25,215483
October_12_to_October_18,225890
October_5_to_October_11,240434
September_28_to_October_4,225655
September_21_to_September_27,214472
September_14_to_September_20,203384
September_7_to_September_13,197923
August_31_to_September_6,184761
August_24_to_August_30,185167
August_17_to_August_23,161406
August_10_to_August_16,121253
August_3_to_August_9,118058
July_27_to_August_2,122021
July_20_to_July_26,113744
July_13_to_July_19,89783
July_6_to_July_12,79309
June_29_to_July_5,69658
June_22_to_June_28,64140
June_15_to_June_21,65541
June_8_to_June_14,63778
June_1_to_June_7,58956
May_25_to_May_31,33871
May_18_to_May_24,28836
May_11_to_May_17,32687
May_4_to_May_10,29006
April_27_to_May_3,28954
April_20_to_April_26,38395
April_13_to_April_19,40102
April_6_to_April_12,38960
March_30_to_April_5,29098
March_23_to_March_29,24745
March_16_to_March_22,21338
March_9_to_March_15,17080
