Cause_of_death,Number_of_deaths
Cancers_and_neoplasms,143181
Circulatory_diseases,139706
Respiratory_diseases,67690
Mental_&_behavioral,31048
Digestive_diseases,24582
Diseases_of_the_nervous_system,18584
Accidents,17590
Other_causes,10193
Genitourinary_diseases,9500
Endocrine_nutritional_and_metabolic_diseases,6497
Infections,5937
Musculoskeletal_system,4180
Skin_diseases,1659
Congenital_diseases,1100
Blood_diseases_and_immune_systems,999
Babies_dying_before_during_or_after_birth,195
Pregnancy_and_childbirth,44
