Response,Share_of_households
Iceland,96
Netherlands,94
Norway,92
Denmark,92
Switzerland,89
Finland,87
Germany_(until_1990_former_territory_of_the_FRG),87
Sweden,87
United_Kingdom,86
Belgium,82
Estonia_,81
France,81
European_Union_(15_countries),80
Austria,79
Euro_area,78
European_Union_(28_countries),78
European_Union_(27_countries),78
Malta,78
Ireland,78
Slovakia,77
Czech_Republic,76
Slovenia,75
Luxembourg,73
Hungary,73
Poland,73
Latvia,72
Spain,67
Cyprus,67
Italy,66
Lithuania,65
Croatia,65
Greece,64
Portugal,63
Romania_,59
Bulgaria,56
