city,Consumption_in_litres
Prague_(Czech_Republic),144
Warsaw_(Poland),127
Krakow_(Poland),127
Frankfurt_(Germany),107
Munich_(Germany),107
Berlin_(Germany),107
Venice_(Italy),106
Helsinki_(Finland),105
Madrid_(Spain),104
Seville_(Spain),104
Malaga_(Spain),104
Barcelona_(Spain),104
Vienna_(Austria),104
Dublin_(Ireland),93
The_Hague_(Netherlands),86
Luxembourg_City_(Luxembourg),83
Reykjavik_(Iceland),82
Brussels_(Belgium),81
Dubrovnik_(Croatia),80
Ljubljana_(Slovenia),78
Bucharest_(Romania),74
Sofia_(Bulgaria),72
Bratislava_(Slovakia),70
Manchester_(United_Kingdom),68
Edinburgh_(United_Kingdom),68
Leeds_(United_Kingdom),68
London_(United_Kingdom),68
Amsterdam_(Netherlands),68
Liverpool_(United_Kingdom),68
Copenhagen_(Denmark),65
Budapest_(Hungary),59
Zurich_(Switzerland),56
Lausanne_(Switzerland),56
Geneva_(Switzerland),56
Oslo_(Norway),47
Lisbon_(Portugal),46
Stockholm_(Sweden),45
Strasbourg_(France),43
Athens_(Greece),35
Nice_(France),30
Paris_(France),30
Milan_(Italy),29
Rome_(Italy),29
