first_A&E_diagnosis,Number_of_accident_and_emergency_attendances
Diagnosis_not_classifiable,1534272
Respiratory_conditions,1332034
Nothing_abnormal_detected,1247535
Dislocation/fracture/joint_injury/amputation,1121421
Sprain/ligament_injury,1105703
Contusion/abrasion,1101877
Gastrointestinal_conditions,1025522
Laceration,1011176
Urological_conditions_(inc_cystitis),686318
Ophthalmological_conditions,681397
Cardiac_conditions,672253
ENT_conditions,486027
Head_injury,399777
Muscle/tendon_injury,352610
Soft_tissue_inflammation,351743
Poisoning_(inc_overdose),336990
Local_infection,331250
Infectious_disease,308649
Psychiatric_conditions,284060
Cerebro-vascular_conditions,263465
Gynaecological_conditions,216279
Central_nervous_system_conditions_(exc_stroke),215002
Dermatological_conditions,172715
Foreign_body,156479
Burns_and_scalds,132778
