Settlement,Number_of_confirmed_cases
Banja_Luka,575
Maglaj,145
Sarajevo,97
Čitluk,96
Mostar,93
Laktaši,79
Široki_Brijeg,60
Bosanska_Gradiška,56
Tuzla,48
Doboj,48
Kotor_Varoš,48
Prijedor,44
Cazin,43
Bihać,41
Zenica,40
Teslić,39
Livno,35
Gacko,35
Derventa,34
Prnjavor,33
Kneževo,30
Konjic,29
Čelinac,27
Zavidovići,23
Trebinje,23
Bosanski_Brod,23
Nevesinje,22
Mrkonjić_Grad,21
Čapljina,21
Goražde,21
Brčko,20
Žepče,20
Kozarska_Dubica,20
Oštra_Luka,19
Srebrenik,16
Modriča,14
Grude,14
Bosanski_Petrovac,13
Šipovo,13
Srbac,12
Jablanica,12
Bijeljina,12
Travnik,11
Tešanj,9
Gornji_Vakuf_-_Uskoplje,9
Vitez,7
Kalinovik,7
Živinice,7
Ribnik,7
Sapna,7
Istočna_Ilidža,6
Novi_Travnik,6
Hadžići,6
Pale,5
Bosanska_Krupa,5
Ilijaš,4
Bugojno,4
Sanski_Most,4
Zvornik,4
Posušje,4
Bosanski_Šamac,4
Lukavac,3
Kakanj,3
Velika_Kladuša,3
Tomislavgrad,3
Bosanski_Novi,3
Orašje,2
Visoko,2
Osmaci,2
Gračanica,2
Doboj_Jug,2
Kiseljak,2
Istočno_Sarajevo,2
Foča,2
Ugljevik,2
Odžak,1
Banovići,1
Srebrenica,1
Ljubuški,1
Vareš,1
Šekovići,1
Milići,1
Bileća,1
Kalesija,1
Breza,1
Sokolac,1
Stolac,1
Donji_Vakuf,1
Krupa_na_Uni,1
Ljubinje,1
Petrovo,1
Vukosavlje,1
Bosanska_Kostajnica,1
Gradačac,1
