NBA_player,Number_of_points_scored
Kareem_Abdul-Jabbar,38387
Karl_Malone,36928
LeBron_James,34241
Kobe_Bryant,33643
Michael_Jordan,32292
Dirk_Nowitzki,31560
Wilt_Chamberlain,31419
Shaquille_O'Neal,28596
Moses_Malone,27409
Elvin_Hayes,27313
Hakeem_Olajuwon,26946
Oscar_Robertson,26710
Dominique_Wilkins,26668
Tim_Duncan,26496
Carmelo_Anthony,26446
Paul_Pierce,26397
John_Havlicek,26395
Kevin_Garnett,26071
Vince_Carter,25728
Alex_English,25613
Reggie_Miller,25279
Jerry_West,25192
Patrick_Ewing,24815
Ray_Allen,24505
Allen_Iverson,24368
Charles_Barkley,23757
Robert_Parish,23334
Adrian_Dantley,23177
Dwyane_Wade,23165
Elgin_Baylor,23149
Kevin_Durant,22940
