relationship_problems_or_loss,Total,Known_mental_health_condition,No_known_mental_health_condition
Any_relationship_problem/loss,42.4,39.6,45.1
Intimate_partner_problem,27.2,24.1,30.2
Perpetrator_of_interpersonal_violence_in_past_month,2.2,1.4,3
Victim_of_interpersonal_violence_in_past_month,0.4,0.6,0.3
Family_relationhip_problem,8.9,9.3,8.5
Other_relationship_problem_(nonintimate),2.1,2.1,2.1
Argument_or_conflict_(not_specified),15.5,13.6,17.5
Death_of_a_loved_one_(any),8,8.8,7.2
Nonsuicide_death,6.3,6.9,5.7
Suicide_of_family_or_friend,2,2.3,1.7
