Quarter,Amsterdam,The_Hague,Rotterdam,Utrecht
Q2_2020,23.09,16.2,16.33,17.81
Q1_2020,23.5,16.53,16.49,17.9
Q4_2019,23.68,16.34,16.26,17.8
Q3_2019,23.47,16.24,15.95,18.0
Q2_2019,23.42,16.28,16.3,16.87
Q1_2019,23.28,15.96,16.29,17.27
Q4_2018,22.98,15.87,15.76,17.21
Q3_2018,22.83,15.92,16.5,16.57
Q2_2018,22.79,15.65,15.85,16.63
Q1_2018,22.48,15.25,15.0,16.05
Q4_2017,22.27,15.26,15.14,15.24
Q3_2017,22.06,14.9,14.43,15.89
Q2_2017,22.28,14.6,14.07,16.44
Q1_2017,22.0,14.56,14.26,15.85
Q4_2016,22.02,14.55,13.72,15.56
Q3_2016,21.96,14.63,14.35,15.57
Q2_2016,21.98,14.46,14.22,15.35
Q1_2016,22.34,14.3,13.66,15.26
Q4_2015,22.28,14.5,12.98,14.59
Q3_2015,21.04,14.51,13.08,14.81
Q2_2015,20.68,13.74,13.3,15.06
Q1_2015,20.04,13.49,12.67,14.11
Q4_2014,20.18,13.68,12.9,13.81
Q3_2014,19.31,13.29,12.51,14.09
Q2_2014,19.31,12.87,12.16,14.04
Q1_2014,18.83,12.91,12.28,14.26
Q4_2013,18.62,12.89,12.22,14.14
Q3_2013,18.51,13.09,12.19,14.11
Q2_2013,18.29,12.88,12.22,14.27
Q1_2013,18.93,13.01,11.82,14.28
Q4_2012,18.55,12.43,12.18,14.74
Q3_2012,18.11,13.13,12.53,14.77
Q2_2012,17.44,13.07,12.21,14.19
Q1_2012,17.59,12.85,12.18,14.68
Q4_2011,18.25,13.26,13.36,14.66
Q3_2011,17.13,12.75,12.05,14.5
Q2_2011,16.66,12.94,11.9,14.06
Q1_2011,16.57,13.22,12.2,14.21
Q4_2010,16.33,13.12,12.48,13.21
Q3_2010,16.08,12.94,12.23,13.62
Q2_2010,16.27,12.9,12.23,13.56
Q1_2010,16.32,13.13,12.29,13.87
