business,Turnover_in_billion_NOK
DNB_ASA,28.78
Telenor_ASA,23.62
SKANDINAVISKA_ENSKILDA_BANKEN_AB_(PUBL)_OSLOFILIALEN,22.68
Statkraft_AS,20.65
Exxonmobil_Exploration_And_Production_Norway_AS,19.19
Equinor_ASA,18.87
Total_E&P_Norge_AS,17.41
Norske_Shell_A/S,17.0
ConocoPhillips_Skandinavia_AS,13.64
Statkraft_Energi_AS,12.38
Lundin_Norway_AS,10.12
Equinor_Dezassete_AS,8.4
Vår_Energi_AS,8.12
Neptune_Energy_Norge_AS,7.0
Omv_(Norge)_AS,6.49
Norsk_Hydro_ASA,6.46
Telenor_Norge_AS,6.32
Norsk_Tipping_AS,5.52
Austevoll_Seafood_ASA,5.19
Gjensidige_Forsikring_ASA,4.6
