Month,USD_GBP_exchange_rate
Oct_20,0.77
Sep_20,0.77
Aug_20,0.75
Jul_20,0.76
Jun_20,0.81
May_20,0.81
Apr_20,0.8
Mar_20,0.81
Feb_20,0.78
Jan_20,0.76
Dec_19,0.76
Nov_19,0.77
Oct_19,0.78
Sep_19,0.81
Aug_19,0.82
Jul_19,0.82
Jun_19,0.79
May_19,0.79
Apr_19,0.77
Mar_19,0.77
Feb_19,0.75
Jan_19,0.76
Dec_18,0.79
Nov_18,0.78
Oct_18,0.79
Sep_18,0.76
Aug_18,0.78
Jul_18,0.76
Jun_18,0.76
May_18,0.75
Apr_18,0.73
Mar_18,0.71
Feb_18,0.73
Jan_18,0.71
Dec_17,0.74
Nov_17,0.74
Oct_17,0.76
Sep_17,0.74
Aug_17,0.77
Jul_17,0.76
Jun_17,0.77
May_17,0.78
Apr_17,0.78
Mar_17,0.8
Feb_17,0.8
Jan_17,0.8
